bigram,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,Total
bipartisan infrastructure,0,1,0,2,0,0,0,3
blackwell ap,1,2,0,1,1,0,0,5
blue flame,0,0,0,2,1,0,0,3
caption people,0,2,0,0,3,0,0,5
caption residents,2,0,0,1,0,2,0,5
caption top,0,1,0,0,0,0,0,1
carbon intensive,3,0,1,1,0,0,0,5
carbon offsets,0,2,0,0,1,0,0,3
ceo uma,0,1,0,0,0,0,0,1
chicken breast,0,1,0,0,0,0,0,1
climate activist,0,1,0,0,1,2,0,4
climate aid,0,2,0,0,0,0,0,2
climate data,1,0,0,1,1,0,2,5
climate displacement,1,0,2,0,1,0,0,4
climate financing,1,3,0,0,0,0,0,4
climate impact,0,1,0,4,0,0,0,5
climate justice,0,1,1,0,1,0,0,3
closed due,1,0,0,1,2,0,0,4
coal mine,0,1,0,0,1,0,0,2
connor donevan,0,3,0,1,1,0,0,5
contributed reporting,1,1,0,1,1,1,0,5
cooking oil,0,0,1,0,1,0,0,2
cost effective,1,2,1,0,0,1,0,5
county commissioner,1,0,1,0,0,0,0,2
county n.c,0,1,0,0,1,0,0,2
cut climate,1,0,0,0,1,3,0,5
daily lives,0,2,0,2,0,1,0,5
damaged homes,1,1,0,0,0,1,0,3
deb haaland,0,0,0,0,1,2,0,3
decade ago,1,1,0,0,3,0,0,5
desoto county,1,0,0,0,0,0,0,1
district steam,3,0,0,0,0,0,0,3
donald trump,3,0,1,0,1,0,0,5
drug administration,0,2,0,0,0,1,0,3
duty trucks,0,1,1,0,0,0,0,2
eat bugs,0,0,0,0,0,1,0,1
economic forum,0,0,1,0,0,1,0,2
efficient heat,0,0,0,0,0,0,1,1
el paso,1,1,0,0,0,0,0,2
electric appliances,0,1,0,1,1,0,0,3
emergency services,0,0,1,1,0,1,0,3
endangered species,2,0,0,0,0,0,0,2
energy company,0,1,0,2,2,0,0,5
energy markets,1,0,2,1,0,0,0,4
environmental advocates,1,0,0,1,0,1,0,3
environmental regulations,2,0,2,0,0,0,0,4
eric orsborn,0,0,0,0,1,0,0,1
esme nicholson,0,0,1,2,0,0,0,3
federal emergency,2,0,0,1,1,0,0,4
financial institutions,1,1,0,0,0,1,0,3
flood waters,1,0,0,1,0,0,0,2
florida's atlantic,1,2,0,0,0,0,0,3
food chain,0,1,0,0,2,2,0,5
foods ceo,0,1,0,0,0,0,0,1
fort worth,0,1,0,0,0,1,1,3
francis tarasiewicz,0,0,0,0,2,0,0,2
francisco bay,0,0,0,3,1,0,0,4
fuel projects,0,0,0,0,0,1,0,1
gas furnaces,0,0,0,0,0,1,1,2
